obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
v_london,1,4,914.0,1380.0,2.4144,-0.0022023,-199.3,0.52146,2.0547,-569.49,0.0010423,8.4489e-05,1.0043
v_blueprint,1,4,845.0,1126.0,0.52064,0.019326,41.006,-0.1476,0.75468,101.84,-0.00026848,4.5639e-05,1.0094
v_there,1,4,1024.0,1536.0,0.46461,0.085196,589.33,0.19659,0.76327,25.833,0.00026763,8.9486e-05,1.0006
v_adam,1,4,450.0,600.0,0.93964,0.025901,148.02,0.23489,0.99347,-0.40879,0.0012864,-2.1517e-05,0.99905
v_apprentices,1,4,1331.0,998.0,0.3794,0.089822,49.168,-0.27745,0.88349,-5.6379,-0.00046319,5.6849e-05,0.99886
v_coffeehouse,1,4,979.0,1478.0,2.5573,-0.039255,201.4,0.53809,1.609,-309.09,0.001126,1.1034e-05,0.99958
v_talent,1,4,882.0,2456.0,1.0063,-0.0054085,288.55,0.23295,0.84053,7.8206,0.0005941,1.4583e-05,1.0001
v_yuri,1,4,1411.0,1058.0,0.60773,0.30281,-259.26,-0.25592,1.5888,-521.05,-0.00079517,0.00030403,1.0
v_wall,1,4,653.0,986.0,1.0478,0.035143,64.843,0.063507,1.0349,21.701,0.00023044,-6.878e-06,0.99998
v_man,1,4,968.0,1290.0,0.87713,-0.25916,166.9,-0.0030449,0.28824,111.17,3.8634e-05,-0.00052869,0.99838
v_underground,1,4,1024.0,1536.0,0.49174,0.0072073,-96.674,-0.16871,0.98991,-12.923,-0.00035092,4.4137e-06,1.0
v_wapping,1,4,1290.0,968.0,1.3231,-0.10518,226.69,0.35118,1.4445,-217.52,0.00076877,-2.4515e-05,0.99903
v_cartooncity,1,4,816.0,1232.0,1.4355,-0.0094101,-257.96,0.19471,1.2993,-196.36,0.00061631,5.1843e-05,0.9996
v_tabletop,1,4,845.0,1126.0,0.43589,-0.39265,102.36,-0.19149,0.54282,236.58,-0.00030635,-8.0041e-05,1.0029
v_fest,1,4,845.0,1126.0,1.6996,0.02142,200.09,0.31149,1.4251,-246.25,0.00053609,-6.8541e-05,0.99889
v_churchill,1,4,1024.0,768.0,0.31237,0.099342,8.5389,-0.29392,0.92363,14.629,-0.00074642,6.3257e-05,0.99168
v_courses,1,4,907.0,1210.0,0.43238,0.017751,13.594,-0.16588,0.77757,94.331,-0.00038565,2.1821e-05,1.0078
v_beyus,1,4,1126.0,845.0,0.55347,0.01345,110.12,-0.085938,0.64894,151.2,-0.00016395,1.1079e-05,0.99926
v_strand,1,4,1290.0,968.0,1.4237,-0.048115,88.765,0.39834,1.2489,-257.76,0.00060637,-4.3118e-05,0.99744
v_sunseason,1,4,1024.0,1536.0,0.1268,-0.03963,330.5,-0.1892,0.46973,254.2,-0.00039857,-3.9641e-05,0.99971
v_bip,1,4,574.0,768.0,0.66762,0.0032438,82.885,0.0020499,0.66883,28.8,6.1944e-06,1.0481e-05,1.0
v_astronautis,1,4,1612.0,735.0,2.2078,0.054458,63.617,0.67654,2.2557,-637.98,0.0013191,8.5079e-05,1.0033
v_gardens,1,4,845.0,1126.0,0.53266,0.0019756,44.297,-0.18137,0.85955,61.945,-0.00038035,1.4705e-06,0.9999
v_feast,1,4,998.0,1331.0,1.0582,-0.013384,562.45,0.1807,0.93712,36.472,0.00043718,5.9368e-06,0.99927
v_boat,1,4,680.0,850.0,0.39176,-0.48622,421.69,0.48543,0.39488,-0.097812,2.3979e-06,-3.3236e-06,1.0
v_bird,1,4,973.0,1068.0,1.2869,-0.0035671,90.117,0.34981,1.1421,-290.48,0.0010338,2.5575e-05,0.99928
v_bees,1,4,846.0,1129.0,0.6416,-0.085322,103.05,-0.075608,0.76092,33.323,-0.00022058,-3.8989e-05,1.0011
v_pomegranate,1,4,968.0,1290.0,1.0019,0.045013,144.39,0.13277,0.95284,-14.111,0.0002066,5.2875e-05,1.0
v_charing,1,4,1331.0,998.0,4.2518,1.1993,-1556.2,-0.61121,4.1483,-830.35,0.00015566,0.0020321,1.0097
v_artisans,1,4,759.0,1830.0,0.18301,0.029092,174.4,-0.087278,0.47983,116.36,-0.00037876,4.7913e-05,1.0017
v_home,1,4,845.0,1126.0,0.31219,0.045878,83.286,-0.17918,0.6159,158.49,-0.00037093,1.0056e-05,0.99747
v_busstop,1,4,998.0,1331.0,0.48531,0.10549,-95.005,-0.11843,0.77202,44.217,-0.00029301,2.8434e-05,0.99773
v_laptop,1,4,574.0,768.0,0.4591,-0.47767,436.55,0.46479,0.46941,-27.514,-2.7182e-05,-1.2668e-06,1.0191
v_maskedman,1,4,653.0,986.0,0.38922,0.015343,55.85,-0.1763,0.84543,87.344,-0.00049385,-2.1034e-05,1.0072
v_weapons,1,4,1290.0,968.0,1.1346,-0.16977,-78.128,-0.0017173,0.8512,-82.973,8.0333e-07,-0.00031449,0.99917
v_bark,1,4,512.0,765.0,-0.19998,0.34647,247.36,-0.34607,-0.19989,467.21,2.0354e-07,-5.1701e-08,1.0
v_dogman,1,4,522.0,788.0,2.9721,0.034514,6.1536,0.86739,2.9829,-532.95,0.0035453,0.00017204,0.95976
v_abstract,1,4,922.0,1229.0,1.9861,0.031586,27.893,0.62141,1.9607,-531.99,0.0011993,-1.9815e-05,0.99978
v_war,1,4,845.0,1126.0,1.1198,0.031669,158.94,0.13747,0.986,-24.458,0.00036259,4.1267e-05,0.99658
v_yard,1,4,845.0,1126.0,1.3951,0.13641,136.74,0.31704,1.2758,-219.28,0.00053511,0.00013896,0.99675
v_birdwoman,1,4,813.0,1100.0,1.141,-0.024147,186.42,0.29573,0.97376,-60.872,0.00082251,-1.0843e-05,0.99973
v_machines,1,4,1126.0,845.0,0.47208,0.021042,63.836,-0.16332,0.73028,126.94,-0.00030371,2.4606e-05,0.99981
