obj,im1,im2,Him,Wim,H11,H12,H13,H21,H22,H23,H31,H32,H33
v_london,1,2,914,1380,0.88632,-0.012492,-136.92,-0.047209,1.0157,42.178,-0.0001423,0.000018595,1.0005
v_blueprint,1,2,845,1126,1.3067,0.060975,22.417,0.23316,1.1321,-91.859,0.00051223,0.000041888,0.99955
v_there,1,2,1024,1536,1.1304,0.022581,185.11,0.23407,1.1353,-135.46,0.00024565,6.1992E-06,0.99973
v_adam,1,2,450,600,1.1202,-0.0055862,43.04,0.17566,1.0194,-5.6786,0.00085767,-0.000044625,0.99922
v_apprentices,1,2,1331,998,1.0246,0.016435,0.71016,0.043099,1.0208,-52.406,0.000066741,0.000049081,1.0002
v_coffeehouse,1,2,979,1478,0.48785,-0.018559,180.98,-0.074731,0.78345,83.419,-0.00019936,1.4194E-06,1.0001
v_talent,1,2,882,2456,0.1857,-0.0018512,147.73,-0.094288,0.35154,277.67,-0.00019671,-0.00001563,0.9996
v_yuri,1,2,1411,1058,1.0035,-0.00055314,2.5255,-0.0028717,1.0087,-9.7285,-3.8783E-06,3.4244E-06,1
v_wall,1,2,653,986,0.66178,0.015003,22.041,-0.16513,0.77183,109.74,-0.00034547,-3.4248E-07,1.0008
v_man,1,2,968,1290,0.47589,0.042551,60.888,-0.21388,0.80238,62.033,-0.0003663,0.000026901,1.001
v_underground,1,2,1024,1536,0.84196,-0.0011189,-94.257,-0.071483,0.95374,58.247,-0.00012617,-0.000010212,1
v_wapping,1,2,1290,968,1.1901,-0.048587,107.72,0.14488,1.1926,-121.84,0.00033622,0.000011241,1.0001
v_cartooncity,1,2,816,1232,0.73597,-0.0032436,13.11,0.017092,0.71039,36.002,0.000058878,-9.3828E-06,0.99995
v_tabletop,1,2,845,1126,1.0669,0.31109,194.1,-0.019953,0.9209,79.624,0.000135,-0.000076705,0.99977
v_fest,1,2,845,1126,0.75268,-0.0092452,-71.273,-0.17607,0.97566,6.3105,-0.00029582,-0.000015187,0.99957
v_churchill,1,2,1024,768,2.3594,0.0026252,-116.05,0.5085,2.302,-550.96,0.0013826,0.0001837,1.0004
v_courses,1,2,907,1210,1.3587,-0.0059528,52.219,0.14127,1.2223,-104.69,0.00032175,-7.4735E-06,0.99967
v_beyus,1,2,1126,845,0.27763,0.016633,143.11,-0.20529,0.5999,174.48,-0.00040227,5.9586E-06,1.0007
v_strand,1,2,1290,968,0.98278,-0.0048237,22.209,-0.012055,0.97088,45.658,-7.6753E-06,-0.000023467,1.0001
v_sunseason,1,2,1024,1536,0.8771,0.00026849,-1.1131,-0.035484,0.88589,36.525,-0.000077192,-0.00001833,1
v_bip,1,2,574,768,0.67783,0.002447,123,-0.00051063,0.68091,83.563,-2.5166E-06,5.6486E-06,1
v_astronautis,1,2,1612,735,0.7855,0.039826,119.05,-0.25749,1.3451,-220.69,-0.00047304,0.000053677,1.001
v_gardens,1,2,845,1126,2.2787,0.023843,-30.321,0.58793,1.9158,-459.28,0.0012782,-6.6868E-06,0.99971
v_feast,1,2,998,1331,0.63263,0.001679,211.33,-0.027901,0.65071,172.66,-0.000036475,-0.000015978,1
v_boat,1,2,680,850,0.85799,0.21669,9.4839,-0.21177,0.85855,130.48,1.5015E-06,9.2033E-07,1
v_bird,1,2,973,1068,0.32788,-0.00026656,168.52,-0.087696,0.49289,72.043,-0.00025798,4.6006E-06,0.9984
v_bees,1,2,846,1129,1.4272,0.064496,-40.82,0.15764,1.3161,-94.847,0.00037033,0.000046015,0.99258
v_pomegranate,1,2,968,1290,0.91628,-0.19782,70.502,0.072414,0.68419,-33.187,5.7127E-06,-0.00025258,0.99947
v_charing,1,2,1331,998,4.3722,0.14407,-818.24,-0.25209,3.9595,-549.15,0.001718,0.0010825,0.97985
